Destination,Value,Fiscal Year
Mercury,10.9,2007
Outer Planets,216,2007
Outer Planets Program,,2007
Pioneer Venus,,2007
Small Bodies,124.6,2007
The Moon,1.5,2007
Venus,,2007
Mars,875.3,2008
Venus (nominal $),,2008
Mars (nominal $),709.3,2008
Mars Data Analysis,,2008
Mars Exploration Program,709.3,2008
Mercury,12,2008
Outer Planets,217.5,2008
Outer Planets Program,,2008
Pioneer Venus,,2008
Small Bodies,53,2008
The Moon,133.8,2008
Venus,,2008
Mars,438,2009
Venus (nominal $),,2009
Mars (nominal $),361.7,2009
Mars Data Analysis,,2009
Mars Exploration Program,361.7,2009
Mercury,14.2,2009
Outer Planets,441.9,2009
Outer Planets Program,23.6,2009
Pioneer Venus,,2009
Small Bodies,50.3,2009
The Moon,268.8,2009
Venus,,2009
Mars,523.6,2010
Venus (nominal $),,2010
Mars (nominal $),438.2,2010
Mars Data Analysis,,2010
Mars Exploration Program,438.2,2010
Mercury,19.7,2010
Outer Planets,427.5,2010
Outer Planets Program,19.4,2010
Pioneer Venus,,2010
Small Bodies,49.6,2010
The Moon,261.2,2010
Venus,,2010
Mars,647.3,2011
Venus (nominal $),,2011
Mars (nominal $),550.4,2011
Mars Data Analysis,,2011
Mars Exploration Program,547.4,2011
Mercury,18.9,2011
Outer Planets,335.7,2011
Outer Planets Program,26.1,2011
Pioneer Venus,,2011
Small Bodies,47.6,2011
The Moon,274.7,2011
Venus,,2011
Mars,754.9,2012
Venus (nominal $),,2012
Mars (nominal $),649.1,2012
Mars Data Analysis,,2012
Mars Exploration Program,587.1,2012
Mercury,26.7,2012
Outer Planets,164.9,2012
Outer Planets Program,61.8,2012
Pioneer Venus,,2012
Small Bodies,168.2,2012
The Moon,197.4,2012
Venus,,2012
Mars,564.1,2013
Venus (nominal $),,2013
Mars (nominal $),492.2,2013
Mars Data Analysis,,2013
Mars Exploration Program,369.5,2013
Mercury,40.6,2013
Outer Planets,195.9,2013
Outer Planets Program,89.9,2013
Pioneer Venus,,2013
Small Bodies,185,2013
The Moon,90.3,2013
Venus,,2013
Mars,552.2,2014
Venus (nominal $),,2014
Mars (nominal $),491.3,2014
Mars Data Analysis,,2014
Mars Exploration Program,288,2014
Mercury,19,2014
Outer Planets,186,2014
Outer Planets Program,100.8,2014
Pioneer Venus,,2014
Small Bodies,249.2,2014
The Moon,30.1,2014
Venus,,2014
Mars,523.5,2015
Venus (nominal $),,2015
Mars (nominal $),475,2015
Mars Data Analysis,,2015
Mars Exploration Program,305,2015
Mercury,13.7,2015
Outer Planets,247.8,2015
Outer Planets Program,15.9,2015
Pioneer Venus,,2015
Small Bodies,281.9,2015
The Moon,0,2015
Venus,,2015
Mars,657.7,2016
Venus (nominal $),,2016
Mars (nominal $),605.1,2016
Mars Data Analysis,,2016
Mars Exploration Program,513,2016
Mercury,6.6,2016
Outer Planets,339.7,2016
Outer Planets Program,55.9,2016
Pioneer Venus,,2016
Small Bodies,189.6,2016
The Moon,0,2016
Venus,,2016
Mars,724.8,2017
Venus (nominal $),,2017
Mars (nominal $),679.3,2017
Mars Data Analysis,,2017
Mars Exploration Program,647,2017
Mercury,7.4,2017
Outer Planets,455.6,2017
Outer Planets Program,68,2017
Pioneer Venus,,2017
Small Bodies,183.2,2017
The Moon,0,2017
Venus,,2017
Mars,783.1,2018
Venus (nominal $),,2018
Mars (nominal $),752.3,2018
Mars Data Analysis,,2018
Mars Exploration Program,678,2018
Mercury,0,2018
Outer Planets,691.8,2018
Outer Planets Program,97,2018
Pioneer Venus,,2018
Small Bodies,197.1,2018
The Moon,0,2018
Venus,,2018
Mars,750.5,2019
Venus (nominal $),,2019
Mars (nominal $),735.8,2019
Mars Data Analysis,,2019
Mars Exploration Program,712.7,2019
Mercury,0,2019
Outer Planets,827.4,2019
Outer Planets Program,244.7,2019
Pioneer Venus,,2019
Small Bodies,411,2019
The Moon,191.9,2019
Venus,,2019
Mars,579.2,2020
Venus (nominal $),,2020
Mars (nominal $),579.2,2020
Mars Data Analysis,,2020
Mars Exploration Program,565.6,2020
Mercury,0,2020
Outer Planets,665.8,2020
Outer Planets Program,39.4,2020
Pioneer Venus,,2020
Small Bodies,477,2020
The Moon,300,2020
Venus,,2020
Mars,592.9,2021
Venus (nominal $),,2021
Mars (nominal $),592.9,2021
Mars Data Analysis,,2021
Mars Exploration Program,581.1,2021
Mercury,0,2021
Outer Planets,490.9,2021
Outer Planets Program,27.7,2021
Pioneer Venus,,2021
Small Bodies,342.2,2021
The Moon,443.5,2021
Venus,,2021
Mars,929.8,2022
Venus (nominal $),,2022
Mars (nominal $),929.8,2022
Mars Data Analysis,,2022
Mars Exploration Program,267.8,2022
Mercury,0,2022
Outer Planets,526.7,2022
Outer Planets Program,22.6,2022
Pioneer Venus,,2022
Small Bodies,243.7,2022
The Moon,497.2,2022
Venus,,2022
Mars,28431,
Venus (nominal $),976.4,
Mars (nominal $),14936,
Mars Data Analysis,,
Mars Exploration Program,,
Mercury,1484,
Outer Planets,,
Outer Planets Program,,
Pioneer Venus,,
Small Bodies,,
The Moon,,
Venus,3617.8,
Mars,,
Venus (nominal $),,
Mars (nominal $),,
Mars Data Analysis,,
Mars Exploration Program,,
Mercury,,
Outer Planets,,
Outer Planets Program,,
Pioneer Venus,,
Small Bodies,,
The Moon,,
Venus,,
Mars,,
Venus (nominal $),,
Mars (nominal $),,
Mars Data Analysis,,
Mars Exploration Program,,
Mercury,,
Outer Planets,,
Outer Planets Program,,
Pioneer Venus,,
Small Bodies,,
The Moon,,
Venus,,
Mars,,
Venus (nominal $),,
Mars (nominal $),,
Mars Data Analysis,,
Mars Exploration Program,,
Mercury,,
Outer Planets,,
Outer Planets Program,,
Pioneer Venus,,
Small Bodies,,
The Moon,,
Venus,,
Mars,,
Venus (nominal $),,
Mars (nominal $),,
Mars Data Analysis,,
Mars Exploration Program,,
Mercury,,
Outer Planets,,
Outer Planets Program,,
Pioneer Venus,,
Small Bodies,,
The Moon,,
Venus,,
Mars,,
Venus (nominal $),,
Mars (nominal $),,
Mars Data Analysis,,
Mars Exploration Program,,
Mercury,,
Outer Planets,,
Outer Planets Program,,
Pioneer Venus,,
Small Bodies,,
The Moon,,
Venus,,
Mars,,
Venus (nominal $),,
Mars (nominal $),,
Mars Data Analysis,,
Mars Exploration Program,,
Mercury,,
Outer Planets,,
Outer Planets Program,,
Pioneer Venus,,
Small Bodies,,
The Moon,,
Venus,,
Mars,,
Venus (nominal $),,
Mars (nominal $),,
Mars Data Analysis,,
Mars Exploration Program,,
Mercury,,
